title,date,content,player_name,image_url,link,sport
Mithali Raj 12/03/1982,"8 June, 2022",,Mithali Raj,https://images.icc-cricket.com/image/upload/t_ratio3_4-size20/prd/j0rd6tqncallmxg43wpl,https://www.icc-cricket.com/news/mithali-raj-the-record-breaker,Cricket
Mithali Raj 12/03/1982,"15 July, 2018",,Mithali Raj,https://images.icc-cricket.com/image/upload/t_ratio3_4-size20/prd/ygikhw6z5mozawvdu0im,https://www.icc-cricket.com/news/its-never-too-early-to-start-mithali-raj,Cricket
Mithali Raj 12/03/1982,"8 June, 2022",,Mithali Raj,https://images.icc-cricket.com/image/upload/t_ratio3_4-size20/prd/dbqb4mcfrzxe0skpeplm,https://www.icc-cricket.com/news/india-legend-mithali-raj-announces-retirement,Cricket
Mithali Raj 12/03/1982,"6 April, 2018",,Mithali Raj,https://images.icc-cricket.com/image/upload/t_ratio3_4-size20/prd/m9u4wtnit3ffzrigqgjv,https://www.icc-cricket.com/news/mithali-raj-becomes-most-capped-player-in-wodis,Cricket
Mithali Raj 12/03/1982,"3 September, 2019",,Mithali Raj,https://images.icc-cricket.com/image/upload/t_ratio3_4-size20/prd/kxtuvrkunn7il1kd4wgf,https://www.icc-cricket.com/news/mithali-rajs-journey-in-icc-womens-t20-world-cups,Cricket
India Women,"21 June, 2017",,Mithali Raj,https://images.icc-cricket.com/image/upload/t_ratio3_4-size20/prd/f25k3wkz1vygcdxszjma,https://www.icc-cricket.com/news/mithali-raj-insists-in-form-india-will-not-be-resting-on-its-laurels,Cricket
Mithali Raj 12/03/1982,"14 June, 2020",,Mithali Raj,https://images.icc-cricket.com/image/upload/t_ratio3_4-size20/prd/g9hqwhq6jwouox5hxult,https://www.icc-cricket.com/tournaments/cricketworldcup/news/mithali-raj-targets-world-cup-21-to-bow-out-on-a-high,Cricket
Media Release,"6 March, 2022",,Mithali Raj,https://images.icc-cricket.com/image/upload/t_ratio3_4-size20/prd/lkokrvysaooholyxumac,https://www.icc-cricket.com/media-releases/record-sixth-world-cup-appearance-for-mithali-raj,Cricket
Virender Sehwag 10/20/1978,"13 September, 2018",,MS Dhoni,https://images.icc-cricket.com/image/upload/t_ratio3_4-size20/prd/munay4odmnbkrxtv71bm,https://www.icc-cricket.com/tournaments/cricketworldcup/news/dhoni-should-continue-till-the-2019-world-cup-sehwag,Cricket
MS Dhoni 07/07/1981,"14 September, 2018",,MS Dhoni,https://images.icc-cricket.com/image/upload/t_ratio3_4-size20/prd/jsple6mo1pz7xubk4woq,https://www.icc-cricket.com/news/left-the-captaincy-at-the-right-time-ms-dhoni,Cricket
India,"6 May, 2018",,MS Dhoni,https://images.icc-cricket.com/image/upload/t_ratio3_4-size20/prd/gfjyhlwkafde9yysofht,https://www.icc-cricket.com/news/ms-dhonis-form-a-great-sign-for-indian-cricket-virat-kohli,Cricket
India,"3 November, 2018",,MS Dhoni,https://images.icc-cricket.com/image/upload/t_ratio3_4-size20/prd/nlhyjjkjniqagrclkqjn,https://www.icc-cricket.com/news/dhonis-experience-will-be-missed-sharma,Cricket
MS Dhoni 07/07/1981,"19 September, 2018",,MS Dhoni,https://images.icc-cricket.com/image/upload/t_ratio3_4-size20/prd/hbm3ljfas89biixqslsa,https://www.icc-cricket.com/news/zaheer-khan-wants-ms-dhoni-to-bat-at-no4-in-odis,Cricket
MS Dhoni 07/07/1981,"9 March, 2019",,MS Dhoni,https://images.icc-cricket.com/image/upload/t_ratio3_4-size20/prd/ehj5x9zihfjpzr86w9ia,https://www.icc-cricket.com/news/ms-dhoni-to-be-rested-for-final-two-australia-odis,Cricket
Stephen Fleming 04/01/1973,"27 May, 2018",,MS Dhoni,https://images.icc-cricket.com/image/upload/t_ratio3_4-size20/prd/wgmzifhy7rrlqlqihtuc,https://www.icc-cricket.com/news/age-group-of-the-boys-was-definitely-a-concern-ms-dhoni,Cricket
MS Dhoni 07/07/1981,"12 January, 2019",,MS Dhoni,https://images.icc-cricket.com/image/upload/t_ratio3_4-size20/prd/ihrenoft9vnigptxoinz,https://www.icc-cricket.com/news/ms-dhoni-becomes-fifth-to-10000-runs-for-india,Cricket
